top1_score,top2_score,top3_score
1.726451555501829e-13,0.6252957582473755,0.7008675932884216
9.280820740826395e-14,0.2935507893562317,0.32707783579826355
1.6668425266343906e-13,0.29489752650260925,0.3281314969062805
1.404646527130432e-13,0.3885084390640259,0.39112427830696106
1.181876590952008e-13,0.37273597717285156,0.455491840839386
9.814723903392442e-14,0.5049332976341248,0.5195445418357849
1.3188427671999292e-13,0.451477587223053,0.48933863639831543
1.430546761778395e-13,0.7151245474815369,0.7501794099807739
1.0446802927929766e-13,0.593690037727356,0.6083800792694092
0.0,0.5939264297485352,0.683824896812439
1.313468241505647e-13,0.6631975769996643,0.6870396733283997
1.5614128100280983e-13,0.6251789927482605,0.6306775808334351
1.1652321902505536e-13,0.45539724826812744,0.6436740159988403
0.0,0.6984109878540039,0.8653519153594971
1.0657674829467334e-13,0.6083800792694092,0.6268571615219116
2.048040556590358e-13,0.6738275289535522,0.6802235245704651
1.4651005560660513e-13,0.44574224948883057,0.5002052783966064
1.0714047921425718e-13,0.6078643202781677,0.6450834274291992
1.1624436222629209e-13,0.6007705926895142,0.6088213324546814
2.2869504684094877e-13,0.7111473083496094,0.7568233013153076
1.051862522321971e-13,0.591454029083252,0.5931762456893921
1.3465112000659446e-13,0.555103063583374,0.5568170547485352
1.2752231453964924e-13,0.614189624786377,0.623981237411499
1.3255034277213223e-13,0.5231515765190125,0.5999696850776672
1.3769333709248016e-13,0.3402802348136902,0.4333820939064026
1.7205881901530273e-13,0.36092159152030945,0.4066307544708252
1.6584119060664149e-13,0.719948410987854,0.7532473802566528
2.5246991997018853e-13,0.480453759431839,0.6784057021141052
9.601524355315819e-14,0.9998548030853271,1.0420973300933838
1.3289010462793488e-13,0.6573388576507568,0.8695487380027771
0.0,0.33641040325164795,0.5408416986465454
1.6125848486397976e-13,0.4081181287765503,0.5073661208152771
1.4357323652441217e-13,0.403386652469635,0.6145101189613342
1.2604693222333097e-13,0.656875491142273,0.6797001361846924
1.3926441380304744e-13,0.4082666337490082,0.44358205795288086
1.4707947858759451e-13,0.3172948956489563,0.40926146507263184
1.2439779295634473e-13,0.4686061143875122,0.5018125176429749
1.2325966527830523e-13,1.021885633468628,1.0268850326538086
8.199175930215241e-14,0.6764934062957764,0.7230309247970581
0.0,0.41863059997558594,0.5779978632926941
1.999606941615814e-13,0.4696756899356842,0.6558265686035156
9.957578381639132e-14,0.6436739563941956,0.698832094669342
1.2866465705363428e-13,0.16898110508918762,0.6903210878372192
1.2802018017725458e-13,0.5592971444129944,0.5630989074707031
1.8242526900972417e-13,0.5632784366607666,0.6212754845619202
2.0156982636840293e-13,0.4828830659389496,0.7655829191207886
1.9226220821563084e-13,0.6924751996994019,0.7167426347732544
1.249949579604226e-13,0.4520303010940552,0.5482394099235535
0.0,0.5613033175468445,0.7487576007843018
1.6011421789113855e-13,0.2923046350479126,0.33580657839775085
2.1955661843719304e-13,0.38692358136177063,0.3955022692680359
